,numer_sta,pmer,tend,cod_tend,dd,ff,t,td,u,vv,ww,w1,w2,n,nbas,hbas,cl,cm,ch,pres,niv_bar,geop,tend24,tn12,tn24,tx12,tx24,tminsol,sw,tw,raf10,rafper,per,etat_sol,ht_neige,ssfrai,perssfrai,rr1,rr3,rr6,rr12,rr24,phenspe1,phenspe2,phenspe3,phenspe4,nnuage1,ctype1,hnuage1,nnuage2,ctype2,hnuage2,nnuage3,ctype3,hnuage3,nnuage4,ctype4,hnuage4,tc,tn12c,tn24c,tx12c,tx24c,tminsolc,latitude,longitude,altitude,code_epci,code_reg,mois_de_l_annee
numer_sta,1.0,-0.2999047475758102,0.03215804433773922,-0.034779812112811545,-0.20653706302010436,0.18895071043405787,0.3184293767510342,0.35926813512094635,0.0615821697481671,0.05868501513770679,0.03767142723769202,0.0573275260682187,0.054337522913892516,-0.04496913866314116,-0.020453115602836983,-0.10640509047544874,0.13224461495235096,-0.05717150567278228,-0.032657298393372454,0.17437425117968808,,-0.427938756886918,0.0916091723248494,0.17324620713124286,0.055926174784023265,0.095370268091574,0.1478038363971583,0.2087170934284892,,,0.2779985664126988,0.340819052069209,-0.34659968460543705,0.2681760643268209,0.09832899229782423,0.0064067116723559,0.06366586814863365,0.05813829531121079,0.10754609404263905,0.14788581847780083,0.14277360870090272,0.20177680839579928,0.24167854958307558,-0.01982280170901665,-0.25461344344388914,0.2985804671018251,-0.06780915382819672,0.10944715091645091,-0.12268191695391391,-0.11281555505416814,-0.0020147111632252603,0.012182360449123276,-0.06944181089169774,-0.13106845816160007,0.07493958508906635,-0.11143536748264342,0.01740796573421775,0.2438467414210418,0.3184293767510339,0.1732462071312428,0.05592617478402403,0.09537026809157498,0.14780383639715805,0.2087170934284881,-0.8231446046366911,-0.0016321480253046288,-0.3394111593350219,0.13078029358120644,-0.6843892859303844,0.015814094977327428
pmer,-0.2999047475758102,1.0,0.07844247636866897,-0.03402714115624795,0.0049866311092792905,-0.30840745539758413,0.062049631014423554,0.059002430367697534,0.014802891400687298,-0.04904768506742817,-0.1814181044067193,-0.23352438939657857,-0.20376309009989096,-0.12423752270878202,-0.08281079473349542,0.06758133007355932,-0.05446436129334043,-0.08846976747427386,-0.15483384575737014,0.4044168396705683,,,0.26591412870801473,0.10781978385101848,0.06453873190796318,0.13703166371291672,0.02761923915463862,-0.12702550077826957,,,-0.44743752304699835,-0.3977864667362364,0.3254738310459487,-0.09785971297114796,0.008116165270757196,-0.02079922883480331,0.01865717093709339,-0.09990680246372188,-0.1566444955266701,-0.16060688093277664,-0.20534811351836796,-0.22669223287608498,-0.22780594693935274,0.08276562035959018,0.1856483808072194,-0.16576325032303804,0.01827341529305774,-0.05149755085038684,0.09624320964468366,0.015478036400499924,-0.055723150845042514,0.04921052453866786,0.0019667035848318455,-0.07962573195680993,0.027879327406223432,0.2159575266720945,-0.32963573885527647,0.40917645306238737,0.062049631014424025,0.10781978385101913,0.06453873190796239,0.13703166371291728,0.027619239154639676,-0.1270255007782709,0.36792159745158337,-0.2416627252735958,0.1219528484868027,-0.007775057251005684,0.09003392199648848,0.03985322900158039
tend,0.03215804433773922,0.07844247636866897,1.0,-0.6754234507134942,0.10611718498474765,-0.059372836441053074,-0.07248697934592549,-0.020642355403953715,0.0891596823307463,0.00678942585051072,-0.0630774830248914,0.04056947063240037,0.037887016726985266,-0.00681229194883544,0.04054878126630574,-0.07497942281286198,0.05650657678817047,0.009264929853723812,-0.012303992044836343,0.03676570854462867,,-0.003220781953248896,0.43107768417718645,0.07673827611377197,0.10785736499243058,-0.011831929246251474,0.02615588887800748,0.02047370862819315,,,-0.1044414399186812,-0.03701808479325733,0.029335644800191813,0.02097309942865948,0.006181538606621557,-0.06234188466775802,0.035356133210188045,-0.0567122232356494,-0.05798716384381374,-0.012502791901114639,0.029836968021006837,0.07247851593648781,-0.01153558545717616,0.008470454534164068,-0.005000076145830104,0.07954731100006211,-0.018945188505260006,0.0663034181271534,-0.08806521428330566,-0.04538551625937176,0.1523836783778103,-0.12983961639551378,-0.04388712418859993,0.08032170846279958,-0.05455782311707059,0.02020300247057796,-0.12492069821597988,-0.022169762952943588,-0.0724869793459266,0.07673827611377274,0.10785736499243205,-0.01183192924625222,0.026155888878007374,0.02047370862819294,-0.011430274497445062,-0.029057809633943475,-0.007166358008179171,0.012494965068025589,-0.023948345348885562,-0.008005168218384347
cod_tend,-0.034779812112811545,-0.03402714115624795,-0.6754234507134942,1.0,-0.07633833248654091,0.024914641755753086,0.07451819428402823,0.018293633582835905,-0.09910717285227179,0.004908192795506187,0.01965489045914886,-0.05275382852864143,-0.04282206380033089,-0.014900938960007517,-0.02955658586021267,0.07553280694241031,-0.060251845810552894,-0.021015625041777453,-0.011115380615462954,-0.022212114329112617,,0.06625710269663482,-0.30378466846396607,-0.046522596763920565,0.4773081029096389,0.013262692067513083,0.10583356247909623,-0.014596399402017566,,,0.051152386033722456,0.021126967393882645,-0.016253237241157143,-0.027531855863344248,-0.0014996498912050818,0.0107454810395024,-0.08663395127221478,0.02224489421769667,0.012750148507229374,-0.00867408934887585,-0.023578080016750103,-0.05675118098531713,0.0010152079062214023,-0.00014461401405050826,0.0028281024549089606,-0.08505489355405524,0.019144016467604323,-0.05090381591185994,0.08053614878733698,0.03481844041226386,-0.1088074862510462,0.08923703688212965,0.0803270612097878,-0.022620844648863814,0.005473069423432084,-0.09712036908794168,0.1333828317290464,0.03891740909635347,0.07451819428402745,-0.04652259676392111,0.47730810290963943,0.013262692067513175,0.10583356247909631,-0.014596399402018062,0.008567022732426263,0.03539606531771275,0.014166552673167755,-0.0007182312667062181,0.02445482648472623,0.021913089608213053
dd,-0.20653706302010436,0.0049866311092792905,0.10611718498474765,-0.07633833248654091,1.0,0.15732776540376636,-0.1156926700999024,-0.13187591926556308,-0.039356335717612066,0.05111451432917273,0.02051648352054707,0.059976129727704386,0.058266681943143314,0.1023648937703766,0.09904436070700759,-0.08632189466493757,0.024774852520752812,0.07044808042857004,0.04903486729226328,-0.044279973211287876,,-0.025656921242967375,0.09615334785007171,-0.0008972317387858541,-0.31811696558575364,-0.022078304844390117,-0.31372505913299986,0.022247413142676743,,,0.12326598116072914,0.14261752340068132,0.029738309625962186,0.0008847607406237038,-0.022566374178003817,-0.01321400668998372,-0.005973893798208008,0.005116608967980852,-0.011005692869766805,-0.03608680388203403,0.004408508214381033,0.0033499233694088667,0.03629515590098937,-0.050067039726004285,-0.06363779524637868,-0.1716710418375309,0.012615565513832864,0.05533805451588878,-0.09284282713470864,0.04457993073655836,0.07664838244951272,-0.0994971184709425,0.028493295334883446,0.034290310996371004,-0.06526968886763589,-0.00842163897000716,0.025232756173912976,-0.04566623606511495,-0.1156926700999023,-0.0008972317387844434,-0.3181169655857548,-0.022078304844389444,-0.3137250591329998,0.022247413142676687,0.09115628934261641,0.12510552305411252,0.06250465696029571,-0.05720988023777654,0.1829955013645229,-0.014695391396740113
ff,0.18895071043405787,-0.30840745539758413,-0.059372836441053074,0.024914641755753086,0.15732776540376636,1.0,-0.11844195031997341,-0.1828141299657333,-0.17492201256624396,0.011551336830027684,0.13053698066794153,0.14028330432951897,0.14010870820901195,0.031229168119432337,0.1026163795419225,-0.07793105285467433,0.019132819054409906,0.04722842491198327,0.0661580318168907,0.016511948867113227,,0.013039254799586614,-0.003639665204089056,-0.08905799926714887,-0.23499347253542519,-0.1728828293203952,-0.42964791556654414,-0.08253721208919215,,,0.9828973409235859,0.9345969079944386,-0.3311247027067218,0.14379764210317336,0.024621752812555783,-0.012113217198128249,0.016146079289347477,0.06395557768190001,0.06303981885503214,0.03129168576016544,0.06119438695179316,0.03174366032380556,0.4047329195326007,-0.2740428217499978,-0.6119308193644085,-0.1092733092992568,0.046946963999385714,0.08649819297946319,-0.13084844674787194,-0.03994075812633411,0.11575009183473654,-0.10217980526448103,-0.045886876037737244,0.08819941974154048,-0.061056221178153534,0.08679945921589897,0.04937542496599197,0.05611656346199019,-0.11844195031997398,-0.08905799926714883,-0.23499347253542524,-0.17288282932039464,-0.4296479155665435,-0.08253721208919312,-0.3074348790457666,0.2721097402115956,-0.1473752719626342,-0.0628785479473904,-0.008130673731659124,-0.03250447278391499
t,0.3184293767510342,0.062049631014423554,-0.07248697934592549,0.07451819428402823,-0.1156926700999024,-0.11844195031997341,1.0,0.8996751621399561,-0.23138597601145036,0.24716623222708872,-0.166868987213999,-0.12041278521018135,-0.11167656647967474,-0.18385648581862074,-0.22273378019681506,0.016837549677564352,-0.10800671650175805,-0.2775393626337689,-0.2904173363155299,0.22982098829568015,,-0.09302286863701494,-0.10469175592621902,0.9405508419392961,0.9381363814436532,0.9591859438853881,0.9096509017706033,0.8455938955990575,,,-0.18596295300677612,-0.13610209854693642,0.2688432892836999,-0.4208941711926477,-0.061341767080375954,-0.0511048392712776,-0.03979993759423866,0.009450466653459015,0.025804882032409677,0.05294060373756234,0.04151528512660646,0.08986774713193167,-0.1873608091416015,0.034513565905179885,0.009566183586440302,-0.1919992688526933,-0.2687939255619201,0.1114809196707405,0.027194511684450053,-0.23891874440082536,-0.11760964649493873,0.19620438347514002,-0.24623460806151343,-0.07115623674538815,0.18034951356964987,-0.19278228767651232,-0.1668153294402573,0.19965998202664514,0.9999999999999987,0.9405508419392962,0.9381363814436539,0.959185943885389,0.9096509017706033,0.8455938955990588,-0.11821030322908391,-0.3307691238657349,-0.2339698753903402,0.06920133923444882,-0.3388014865869447,0.11223683675425257
td,0.35926813512094635,0.059002430367697534,-0.020642355403953715,0.018293633582835905,-0.13187591926556308,-0.1828141299657333,0.8996751621399561,1.0,0.19140225013338055,0.0651056476475444,-0.0347399123541162,0.0376123533758144,0.029157096652566057,0.008872579947378292,-0.03346920462396507,-0.13420215464518612,0.04716594254144026,-0.11629511253934188,-0.11862412291259214,0.2633803671203453,,0.07109469865327736,-0.11013864245503711,0.9303619103947421,0.9526716688371732,0.881327206198866,0.9283850574222453,0.8576835093027494,,,-0.2907428508149754,-0.22888046918811245,0.29804847627445835,-0.3699772301074695,-0.06320902027853242,-0.04139767845088153,-0.04828487138568252,0.0690008857092268,0.10909047534426096,0.1475985311631701,0.14080419579853776,0.18236111966618743,-0.20887070220952844,0.052378005975022464,0.014261889266715306,-0.21781985795380246,-0.14298217527274276,0.1703345315387366,-0.1213617254213663,-0.1551142166111453,0.036052420750730126,0.02686886091484754,-0.17953108459892256,0.07003906094529987,0.028592184521809127,-0.11661947792356898,-0.029920926771179406,0.1538246423420524,0.8996751621399607,0.930361910394743,0.9526716688371732,0.8813272061988665,0.9283850574222451,0.8576835093027477,-0.12201979158668295,-0.39459232777018427,-0.26595054702412424,0.10901369225000908,-0.46909883639147953,0.12316053066379783
u,0.0615821697481671,0.014802891400687298,0.0891596823307463,-0.09910717285227179,-0.039356335717612066,-0.17492201256624396,-0.23138597601145036,0.19140225013338055,1.0,-0.427324744338966,0.31287085029100364,0.357490184140908,0.3256917904118251,0.42507680360121197,0.4128367654759437,-0.31778661084783566,0.35586237176625474,0.39456951346820063,0.41008071448238403,0.058144353086652285,,0.25713424909316096,-0.020511107642374248,-0.05493259058276367,-0.08299378759539312,-0.18876736174947586,-0.09942814410029474,-0.1140880164144867,,,-0.22311834016389426,-0.18635964035178024,0.044462387627260125,0.20622054955897154,0.00810378774027477,0.0355762860479827,-0.001293434698410479,0.12498951055740357,0.1767617224860488,0.20340181209980454,0.21182766796250715,0.20063109554108852,-0.029776748151441854,0.024563642098522655,0.011534565316275912,0.0011360510817835017,0.29884573805320686,0.10293641393965444,-0.30212950395504923,0.2165121220537847,0.3200768172568245,-0.363673371993177,0.19177795026507338,0.3368855091388831,-0.38034050348514303,0.21146595673249569,0.37719681147658046,-0.167388685591534,-0.2313859760114512,-0.0549325905827637,-0.08299378759539305,-0.1887673617494765,-0.09942814410029674,-0.11408801641448801,0.02331435261925241,-0.16162316632495388,-0.054995854173646774,0.07709841217357107,-0.21262437422956307,0.029755181692187428
vv,0.05868501513770679,-0.04904768506742817,0.00678942585051072,0.004908192795506187,0.05111451432917273,0.011551336830027684,0.24716623222708872,0.0651056476475444,-0.427324744338966,1.0,-0.3525205491411881,-0.28908127399308525,-0.2648034722027814,-0.16900048058323275,-0.27551273933770104,0.19112626247297324,-0.31495397102537903,-0.34697191865785,-0.33494901527856286,0.0413270947178285,,0.10189219688546444,0.011112056374762992,0.14432160023039167,0.37565755691275116,0.24292538302174754,0.47532300461446503,0.19944929439160633,,,-0.004485773730431669,0.03656529452789118,0.011926882126143842,-0.2057736350208478,-0.02528982167547283,-0.03631678475112544,-0.00999755889197191,-0.11463444048045848,-0.11440447591779507,-0.10579748914107276,-0.07760907892845087,-0.045134442993597285,-0.005877153558874922,0.014788100745817653,0.10188919011072689,0.2669480849884406,-0.17238071596466406,-0.11747587342251156,0.23251619026939713,-0.061519635344710354,-0.2680178147102867,0.21791260341433977,0.05320404962317168,-0.17193015436910697,0.14766109890960635,-0.1447161806964431,-0.05944296302214423,0.12706634565583075,0.2471662322270886,0.1443216002303906,0.3756575569127515,0.24292538302174765,0.4753230046144636,0.1994492943916061,-0.04821894899059858,-0.03691116219271223,-0.0583847748901055,0.039524227047921,0.08085402063801278,0.03090079551547401
