date,service,gare_depart,gare_arrivee,duree_moyenne,nb_train_prevu,nb_annulation,commentaire_annulation,nb_train_depart_retard,retard_moyen_depart,retard_moyen_tous_trains_depart,commentaire_retards_depart,nb_train_retard_arrivee,retard_moyen_arrivee,retard_moyen_tous_trains_arrivee,commentaires_retard_arrivee,nb_train_retard_sup_15,retard_moyen_trains_retard_sup15,nb_train_retard_sup_30,nb_train_retard_sup_60,prct_cause_externe,prct_cause_infra,prct_cause_gestion_trafic,prct_cause_materiel_roulant,prct_cause_gestion_gare,prct_cause_prise_en_charge_voyageurs
2018-01,National,BORDEAUX ST JEAN,PARIS MONTPARNASSE,141,870,5,,289,11.24780854,3.693179191,,147,28.43673469,6.511117534,,110,6.511117534,44,8,36.13445378,31.09243697,10.92436975,15.96638655,5.042016807,0.840336134
2018-01,National,LA ROCHELLE VILLE,PARIS MONTPARNASSE,165,222,0,,8,2.875,0.095795796,,34,21.52401961,5.696096096,,22,5.696096096,5,0,15.38461538,30.76923077,38.46153846,11.53846154,3.846153846,0.0
2018-01,National,PARIS MONTPARNASSE,QUIMPER,220,248,1,,37,9.501351351,1.003981107,,26,55.69230769,7.578947368,"Ce mois-ci, l'OD a été touchée par les incidents suivants :
Le 1er : Tempête Carmen sur la façade Atlantique  (52 TGV ; 1079mn)
Le 3 : Tempête Eleonor sur l’ouest de la France (35 TGV ; 407mn)
Le 5 : Dérangement d’une aiguille en gare de Massy TGV (57 TGV ; 1254mn)
Le 7 : Dérangement du poste d’aiguillage de Paris Montparnasse (70 TGV ; 1490mn)
Le 12 : Colis suspect en gare de Paris Montparnasse (32 TGV ; 499mn)
Le 12 : Incident caténaire en gare de Rennes (26 TGV ; 2188mn)
Le 17 : Dérangement du poste d’aiguillage de Paris Montparnasse (26 TGV ; 386mn)",26,7.548387097,17,7,26.92307692,38.46153846,15.38461538,19.23076923,0.0,0.0
2018-01,National,PARIS MONTPARNASSE,ST MALO,156,102,0,,12,19.9125,1.966666667,,13,48.62307692,6.790686275,"Ce mois-ci, l'OD a été touchée par les incidents suivants :
Le 1er : Tempête Carmen sur la façade Atlantique  (52 TGV ; 1079mn)
Le 3 : Tempête Eleonor sur l’ouest de la France (35 TGV ; 407mn)
Le 5 : Dérangement d’une aiguille en gare de Massy TGV (57 TGV ; 1254mn)
Le 7 : Dérangement du poste d’aiguillage de Paris Montparnasse (70 TGV ; 1490mn)
Le 12 : Colis suspect en gare de Paris Montparnasse (32 TGV ; 499mn)
Le 12 : Incident caténaire en gare de Rennes (26 TGV ; 2188mn)
Le 17 : Dérangement du poste d’aiguillage de Paris Montparnasse (26 TGV ; 386mn)",8,6.724757282,6,4,23.07692308,46.15384615,7.692307692,15.38461538,7.692307692,0.0
2018-01,National,PARIS MONTPARNASSE,ST PIERRE DES CORPS,61,391,2,,61,7.796994536,0.88688946,,71,12.40516432,3.346486718,,17,3.346486718,6,0,21.21212121,42.42424242,9.090909091,21.21212121,6.060606061,0.0
2018-01,National,QUIMPER,PARIS MONTPARNASSE,223,256,1,,9,16.33333333,0.579477124,,21,39.0952381,5.940849673,,21,5.917643229,9,2,27.77777778,55.55555556,0.0,5.555555556,5.555555556,5.555555556
2018-01,National,RENNES,LYON PART DIEU,233,99,0,,23,3.0,0.696969697,,6,40.05833333,2.244612795,"Ce mois-ci, l'OD a été touchée par les incidents suivants :
Le 1er : Tempête Carmen sur la façade Atlantique  (52 TGV ; 1079mn)
Le 3 : Tempête Eleonor sur l’ouest de la France (35 TGV ; 407mn)
Le 5 : Dérangement d’une aiguille en gare de Massy TGV (57 TGV ; 1254mn)
Le 7 : Dérangement du poste d’aiguillage de Paris Montparnasse (70 TGV ; 1490mn)
Le 12 : Colis suspect en gare de Paris Montparnasse (32 TGV ; 499mn)
Le 12 : Incident caténaire en gare de Rennes (26 TGV ; 2188mn)
Le 17 : Dérangement du poste d’aiguillage de Paris Montparnasse (26 TGV ; 386mn)",6,2.244612795,2,1,0.0,50.0,25.0,25.0,0.0,0.0
2018-01,National,ST PIERRE DES CORPS,PARIS MONTPARNASSE,61,410,1,,173,6.719267823,2.954808476,,114,13.04561404,4.359739201,"Ce mois-ci, l'OD a été touchée par les incidents suivants :
Le 1er : Tempête Carmen sur la façade Atlantique  (52 TGV ; 1079mn)
Le 3 : Tempête Eleonor sur l’ouest de la France (35 TGV ; 407mn)
Le 5 : Dérangement d’une aiguille en gare de Massy TGV (57 TGV ; 1254mn)
Le 7 : Dérangement du poste d’aiguillage de Paris Montparnasse (70 TGV ; 1490mn)
Le 12 : Colis suspect en gare de Paris Montparnasse (32 TGV ; 499mn)
Le 17 : Dérangement du poste d’aiguillage de Paris Montparnasse (26 TGV ; 386mn)",26,4.359739201,9,0,22.72727273,45.45454545,16.66666667,12.12121212,1.515151515,1.515151515
2018-01,National,TOURS,PARIS MONTPARNASSE,75,194,0,,12,5.727777778,0.333075601,,35,11.13142857,2.929295533,,7,2.929295533,1,0,25.0,56.25,6.25,12.5,0.0,0.0
2018-01,National,NANTES,STRASBOURG,303,39,0,,22,2.835606061,1.664957265,,5,32.98666667,5.741025641,,5,5.741025641,2,1,0.0,0.0,33.33333333,33.33333333,0.0,33.33333333
2018-01,National,PARIS EST,STRASBOURG,112,494,9,,49,6.267006803,0.576323024,,14,27.3,0.77814433,,11,0.77814433,5,1,25.0,8.333333333,8.333333333,50.0,8.333333333,0.0
2018-01,National,STRASBOURG,PARIS EST,112,507,7,,239,7.218828452,3.5573,,46,24.83876812,2.675233333,,34,2.675233333,11,1,35.8974359,12.82051282,17.94871795,15.38461538,5.128205128,12.82051282
2018-01,National,DUNKERQUE,PARIS NORD,116,245,1,,14,8.928571429,0.562704918,,28,28.92559524,4.737363388,,19,4.737363388,8,2,26.08695652,26.08695652,26.08695652,17.39130435,4.347826087,0.0
2018-01,National,LILLE,LYON PART DIEU,190,292,8,,122,10.04112022,4.375234742,,36,56.1587963,7.582805164,,31,7.582805164,22,13,40.0,30.0,5.0,20.0,5.0,0.0
2018-01,National,BORDEAUX ST JEAN,TOURCOING,301,31,0,,13,2.755128205,1.180645161,,3,43.33333333,6.548387097,"7660 du 7 +42: Dérangemetn d'insta MPW
7660 du 26 +68: Soin matériel roulant",3,6.548387097,2,1,0.0,33.33333333,66.66666667,0.0,0.0,0.0
2018-01,National,PARIS VAUGIRARD,NANTES,140,62,0,,15,11.64111111,2.522043011,,10,34.23166667,7.565591398,,6,7.565591398,3,3,30.0,30.0,20.0,10.0,10.0,0.0
2018-01,National,RENNES,PARIS VAUGIRARD,111,31,0,,7,2.857142857,0.64516129,,2,24.33333333,3.160752688,,2,3.160752688,0,0,50.0,0.0,50.0,0.0,0.0,0.0
2018-01,National,TOURCOING,BORDEAUX ST JEAN,286,31,0,,5,8.4,1.35483871,,7,47.86428571,12.04408602,"7839 du 23 +310: Accident de personne
7839 du 21 +58: obstacle sur voie ou aux abords",7,12.04408602,3,1,0.0,0.0,33.33333333,66.66666667,0.0,0.0
2018-01,National,CHAMBERY CHALLES LES EAUX,PARIS LYON,184,278,1,,149,15.00626398,8.019795427,,69,38.49082126,10.27063779,,60,10.27063779,26,12,24.13793103,17.24137931,32.75862069,20.68965517,3.448275862,1.724137931
2018-01,National,LYON PART DIEU,MARNE LA VALLEE,109,316,3,,221,10.31432881,7.273375932,,64,37.121875,7.814643237,,53,7.814643237,27,10,18.36734694,34.69387755,12.24489796,20.40816327,6.12244898,8.163265306
2018-01,National,MONTPELLIER,PARIS LYON,206,340,2,,122,10.99180328,4.073619329,,58,44.75574713,7.465581854,Heurt d’un chevreuil par OUIGO 7801 vers Valence-TGV,58,7.465581854,31,11,22.0,38.0,12.0,22.0,2.0,4.0
2018-01,National,MULHOUSE VILLE,PARIS LYON,168,328,8,,106,6.577044025,2.199895833,,24,34.37361111,2.280208333,,19,2.280208333,8,4,37.5,12.5,29.16666667,4.166666667,4.166666667,12.5
2018-01,National,NICE VILLE,PARIS LYON,346,197,0,,84,9.961309524,4.370642978,,33,46.82525253,8.570981387,"Décontrôle d’aiguilles, à Solers",33,8.570981387,20,8,38.70967742,25.80645161,9.677419355,19.35483871,0.0,6.451612903
2018-01,National,PARIS LYON,CHAMBERY CHALLES LES EAUX,186,271,0,,46,13.59311594,2.047478475,,36,39.0712963,5.813653137,,26,5.813653137,17,5,14.70588235,26.47058824,20.58823529,32.35294118,5.882352941,0.0
2018-01,National,PARIS LYON,LYON PART DIEU,119,630,1,,60,9.3725,0.486221516,,61,30.51311475,2.824933757,,49,2.824933757,24,5,22.03389831,44.06779661,11.86440678,20.33898305,1.694915254,0.0
2018-01,International,BARCELONA,PARIS LYON,390,35,0,,10,1.4,0.314285714,,7,57.67619048,9.219047619,,7,9.219047619,3,3,14.28571429,14.28571429,14.28571429,57.14285714,0.0,0.0
2018-01,International,GENEVE,PARIS LYON,194,230,1,,161,3.735817805,2.861863173,,36,40.26990741,7.178238719,,36,7.178238719,19,7,69.44444444,16.66666667,5.555555556,0.0,5.555555556,2.777777778
2018-01,International,MADRID,MARSEILLE ST CHARLES,481,16,1,,6,3.5,1.0,,3,20.27222222,7.255555556,,3,7.255555556,0,0,0.0,0.0,66.66666667,33.33333333,0.0,0.0
2018-01,International,PARIS EST,FRANCFORT,226,177,2,,19,6.242105263,0.611428571,,20,29.3,7.836380952,,20,7.836380952,6,2,30.0,30.0,25.0,15.0,0.0,0.0
2018-01,International,PARIS LYON,ZURICH,241,153,3,,25,8.94,1.232333333,,28,34.30357143,7.782444444,,28,7.782444444,11,3,17.85714286,21.42857143,25.0,21.42857143,3.571428571,10.71428571
2018-01,National,BREST,PARIS MONTPARNASSE,225,284,3,,4,2.25,0.03202847,,19,39.18333333,5.389501779,,19,5.370390071,5,2,33.33333333,53.33333333,0.0,13.33333333,0.0,0.0
2018-01,National,PARIS MONTPARNASSE,ANGOULEME,126,239,4,,36,6.347685185,0.751560284,,28,18.02202381,4.113191489,,15,4.113191489,3,0,15.38461538,38.46153846,19.23076923,23.07692308,3.846153846,0.0
2018-01,National,PARIS MONTPARNASSE,POITIERS,93,506,4,,62,7.717741935,0.644090305,,52,13.4849359,2.716932271,,16,2.716932271,6,0,26.92307692,42.30769231,11.53846154,19.23076923,0.0,0.0
2018-01,National,PARIS MONTPARNASSE,TOURS,72,186,0,,30,9.582777778,1.09390681,,48,12.23125,4.334856631,"Ce mois-ci, l'OD a été touchée par les incidents suivants :
Le 1er : Tempête Carmen sur la façade Atlantique  (52 TGV ; 1079mn)
Le 3 : Tempête Eleonor sur l’ouest de la France (35 TGV ; 407mn)
Le 5 : Dérangement d’une aiguille en gare de Massy TGV (57 TGV ; 1254mn)
Le 7 : Dérangement du poste d’aiguillage de Paris Montparnasse (70 TGV ; 1490mn)
Le 12 : Colis suspect en gare de Paris Montparnasse (32 TGV ; 499mn)
Le 17 : Dérangement du poste d’aiguillage de Paris Montparnasse (26 TGV ; 386mn)",9,4.334856631,5,0,19.23076923,46.15384615,11.53846154,19.23076923,3.846153846,0.0
