,duree_moyenne,nb_train_prevu,nb_annulation,commentaire_annulation,nb_train_depart_retard,retard_moyen_depart,retard_moyen_tous_trains_depart,commentaire_retards_depart,nb_train_retard_arrivee,retard_moyen_arrivee,retard_moyen_tous_trains_arrivee,nb_train_retard_sup_15,retard_moyen_trains_retard_sup15,nb_train_retard_sup_30,nb_train_retard_sup_60,prct_cause_externe,prct_cause_infra,prct_cause_gestion_trafic,prct_cause_materiel_roulant,prct_cause_gestion_gare,prct_cause_prise_en_charge_voyageurs
duree_moyenne,1.0,-0.4291189178523204,-0.11952096578220295,,-0.3130418936469551,0.06657028190473359,0.02465185095991946,,-0.33651091171139397,0.4024559048677885,0.13693548003385336,-0.08822025650069101,0.0822436292404992,-0.04857360534502173,-0.02932698675207667,0.17590111616723095,-0.02550368547199339,-0.035646406865752336,-0.06231783991665336,-0.16551784170773204,-0.054650125649057746
nb_train_prevu,-0.4291189178523204,1.0,0.20802824851061968,,0.5967239096928036,0.046235934397147176,0.03450782229474945,,0.7563589212542674,-0.06920132145254947,-0.05222148795386607,0.6550707694962412,0.05966961101739888,0.6034862149972382,0.5095677284280544,-0.025281563620870598,-0.013466459071736388,-0.0030543595151661805,0.08692633564437746,0.14724385431235315,0.1437416309543455
nb_annulation,-0.11952096578220295,0.20802824851061968,1.0,,0.023604471651650378,0.010870427819812697,0.00656452663306512,,0.08871803992233777,-0.05630456876568245,-0.0202883853416984,0.05375379125758141,-0.10048916157730763,0.04012460930964229,0.03333562772728135,0.09485721552747174,0.0272289895854692,-0.08429891945136508,-0.015707760348164637,0.007958963606244672,-0.023216670036199462
commentaire_annulation,,,,,,,,,,,,,,,,,,,,,
nb_train_depart_retard,-0.3130418936469551,0.5967239096928036,0.023604471651650378,,1.0,-0.15734011374514761,0.22595586720371535,,0.6534435323923625,-0.0815994192735308,0.01311818908633631,0.5666370875169233,0.07533352292110938,0.4902843878790301,0.40089896562633753,0.017710627999253707,0.05180133787768781,0.12890399876837677,-0.05758681956782408,0.015526824595801554,-0.012608310762595195
retard_moyen_depart,0.06657028190473359,0.046235934397147176,0.010870427819812697,,-0.15734011374514761,1.0,0.4590789551539099,,0.07426393651258555,0.24092547964243757,0.12348816500317956,0.13149893539174454,0.12116467296805553,0.17575384407065828,0.2027921010676616,-0.018710067605912487,-0.04981357079220272,-0.0604464526344394,0.1014811827570746,0.10722110755299737,0.028455889863557834
retard_moyen_tous_trains_depart,0.02465185095991946,0.03450782229474945,0.00656452663306512,,0.22595586720371535,0.4590789551539099,1.0,,0.1831098656714122,0.1018484674456635,0.2658754848504094,0.21115834395707395,0.06011710454666537,0.20382438436218744,0.19632489482777613,0.0018082052438929777,-0.0019118635365062576,0.054089354100340124,-0.006558407311611804,0.024345146685425395,-0.03186664442844125
commentaire_retards_depart,,,,,,,,,,,,,,,,,,,,,
nb_train_retard_arrivee,-0.33651091171139397,0.7563589212542674,0.08871803992233777,,0.6534435323923625,0.07426393651258555,0.1831098656714122,,1.0,-0.05583396624012546,0.15662339510700296,0.8877198333906775,0.029959900074736697,0.8090980095139394,0.681794483025414,-0.036848845370529515,0.0086589588594068,0.1298009362495385,-0.011432306364181542,0.08047956125505985,0.049158304606481684
retard_moyen_arrivee,0.4024559048677885,-0.06920132145254947,-0.05630456876568245,,-0.0815994192735308,0.24092547964243757,0.1018484674456635,,-0.05583396624012546,1.0,0.30697606439768227,0.15779467866058972,0.578210902544876,0.28307911071756375,0.3973372294608251,0.24494936283065888,0.07952096578323156,-0.14128336905355582,0.047527830815071864,-0.030065181375505352,0.022915131735523283
retard_moyen_tous_trains_arrivee,0.13693548003385336,-0.05222148795386607,-0.0202883853416984,,0.01311818908633631,0.12348816500317956,0.2658754848504094,,0.15662339510700296,0.30697606439768227,1.0,0.24835588693867647,0.14243723686544602,0.2624043735929689,0.262185159163832,0.04903653508923163,0.03353194645904323,0.062012651672618074,-0.021695246980284494,-0.017757677127585466,-0.03302862081940798
nb_train_retard_sup_15,-0.08822025650069101,0.6550707694962412,0.05375379125758141,,0.5666370875169233,0.13149893539174454,0.21115834395707395,,0.8877198333906775,0.15779467866058972,0.24835588693867647,1.0,0.09333955475916582,0.9422562547798887,0.8029586732595361,0.0385659131945599,-0.01893344206589483,0.06346309373523008,0.006136922675050691,0.05974018634467704,0.046867883013466
retard_moyen_trains_retard_sup15,0.0822436292404992,0.05966961101739888,-0.10048916157730763,,0.07533352292110938,0.12116467296805553,0.06011710454666537,,0.029959900074736697,0.578210902544876,0.14243723686544602,0.09333955475916582,1.0,0.19452564979130932,0.29758953666480165,0.0749546937804429,0.04261662112144666,-0.06456344587426302,0.014438942498407275,0.10820754072859201,0.1964943370710139
nb_train_retard_sup_30,-0.04857360534502173,0.6034862149972382,0.04012460930964229,,0.4902843878790301,0.17575384407065828,0.20382438436218744,,0.8090980095139394,0.28307911071756375,0.2624043735929689,0.9422562547798887,0.19452564979130932,1.0,0.8916540002269462,0.07254103454445067,-0.02370242260498814,-0.0008421653675705304,0.024733083230002968,0.06293187184980116,0.03966515044267175
nb_train_retard_sup_60,-0.02932698675207667,0.5095677284280544,0.03333562772728135,,0.40089896562633753,0.2027921010676616,0.19632489482777613,,0.681794483025414,0.3973372294608251,0.262185159163832,0.8029586732595361,0.29758953666480165,0.8916540002269462,1.0,0.08063524373156572,-0.001171418801833567,-0.032650694780145754,0.012123978189188978,0.04951486474582843,0.03642855208682869
prct_cause_externe,0.17590111616723095,-0.025281563620870598,0.09485721552747174,,0.017710627999253707,-0.018710067605912487,0.0018082052438929777,,-0.036848845370529515,0.24494936283065888,0.04903653508923163,0.0385659131945599,0.0749546937804429,0.07254103454445067,0.08063524373156572,1.0,-0.16283219773017843,-0.2571294929745563,-0.2284214467600672,-0.1876795852496967,-0.18128165472328922
